disposition,pl_orbper,pl_orbsmax,pl_rade,pl_eqt,st_teff,st_rad,st_mass,sy_dist
CONFIRMED,19.4921473,,5.50689,662.0,6128.0,1.36,,181.69
CONFIRMED,19.492132,,6.0,,,1.48,,181.69
CONFIRMED,19.49221,0.1493,5.76,817.0,6069.0,1.39,1.17,181.69
CONFIRMED,19.491965,,6.8,,6320.0,1.485,,181.69
CONFIRMED,19.49183,,5.96,,,1.403,,181.69
CONFIRMED,19.4921498,,,,6025.0,1.38,1.18,181.69
CONFIRMED,19.491,,5.5,809.0,6019.0,1.387,1.17,181.69
CONFIRMED,19.49213,0.148,6.12,886.35,6025.0,1.38,1.18,181.69
CONFIRMED,19.50735025,,,,6128.0,1.3636,1.158,181.69
FALSE POSITIVE,1.982809,,,,3330.0,0.291,,185.731
FALSE POSITIVE,1.9828041248,,10.89107018,543.47,3213.0,0.293047,,185.731
FALSE POSITIVE,1.9828,,,,3213.0,0.293047,0.268704,185.731
CANDIDATE,29.724674,,1.439,,5339.0,0.854,0.869,120.419
FALSE POSITIVE,0.616444,,,,4937.26,0.750931,0.81,544.461
FALSE POSITIVE,7.218071,,,,6727.06,1.67346,1.433,187.293
FALSE POSITIVE,7.219626,,,,8075.0,2.55977,1.96,189.453
CANDIDATE,7.220537,,,,5420.0,0.932,,657.667
FALSE POSITIVE,7.220943,,,,3092.0,0.292863,0.268495,
CANDIDATE,10.55532,,2.64,,,0.623,,209.555
CANDIDATE,10.555,,,,4067.08,0.722281,0.64,209.555
CANDIDATE,10.55632,,2.86,,4067.08,0.722281,0.64,209.555
FALSE POSITIVE,1.4835,,1.41,,3200.0,0.317944,0.297189,162.067
FALSE POSITIVE,6.0162,,,,3249.0,0.400314,0.391835,186.063
CANDIDATE,1.092845,,,,5620.0,0.951,,183.013
CANDIDATE,1.092673,,,,5140.0,0.783,,621.412
FALSE POSITIVE,1.092917,,,,7226.47,1.78223,1.62,1129.3
CANDIDATE,0.907765,,77.0,,,1.21,,1250.39
CANDIDATE,17.04066667,,,,6117.37,,,293.633
CANDIDATE,17.035203,,53.0,,,1.51,,293.633
CANDIDATE,63.84825,,2.86,,3973.09,0.731598,0.62,202.801
CANDIDATE,63.8432,,2.78,,,0.594,,202.801
CANDIDATE,8.986648,,143.0368808,,5265.0,4.260594,,322.628
CANDIDATE,8.986,,,,5523.32,11.8634,,322.628
CANDIDATE,0.279258,,8.41,,4071.0,0.62,,163.746
CANDIDATE,32.5795,,10.44,,,0.633,,738.829
CANDIDATE,32.576,,,,4217.0,0.694468,0.66,738.829
CANDIDATE,1.744546,,,,6530.0,2.316,,1006.1
FALSE POSITIVE,11.6158,,,,3189.0,0.339085,0.32159,188.025
CANDIDATE,74.8,0.32,4.34,86.0,5044.0,0.7,0.79,228.327
CANDIDATE,6.83292,,1.3,,,0.18,,100.558
FALSE POSITIVE,0.77845,,,,3859.0,0.779314,0.595,183.229
FALSE POSITIVE,0.778,,,,3859.0,0.779314,0.595,183.229
FALSE POSITIVE,0.923861,,,,6235.06,1.90631,1.21,1072.93
FALSE POSITIVE,2.851451,,,,7137.0,2.22321,1.59,2882.33
FALSE POSITIVE,3.244126,,,,4274.11,0.987047,0.67,306.822
FALSE POSITIVE,0.821436,,,,6046.46,1.5043,1.12,655.284
FALSE POSITIVE,3.888853,,,,3693.0,0.696024,0.660661,174.95
FALSE POSITIVE,3.696871,,,,6401.57,1.47855,1.285,218.506
CANDIDATE,3.697161,,,,3120.0,0.245,,474.3418
FALSE POSITIVE,1.769505,,,,5988.0,1.16794,1.1,2873.75
CANDIDATE,23.702342,,,,6280.0,1.869,,549.485
CANDIDATE,2.714743,,1.198,,3634.0,0.415,0.397,196.9
CANDIDATE,5.169887,,9.1,,6830.0,1.45,,306.57
CANDIDATE,5.1699026,,9.23587,1356.0,6283.4,1.48,,306.57
FALSE POSITIVE,3.40819,,,,5416.13,0.849526,0.943,377.273
FALSE POSITIVE,2.22982,,,,7391.0,2.26072,1.69,847.096
CANDIDATE,4.4455436,,15.8181,1528.0,6355.8,2.11,,923.354
CANDIDATE,4.445559,,15.9,,6520.0,2.237,,923.354
CANDIDATE,23.917716,,,,5050.0,0.828,,459.87
CANDIDATE,2.783705,,2.4,,5890.0,0.939,,275.839
FALSE POSITIVE,1.830767,,,,6141.42,0.98712,1.16,453.469
CANDIDATE,9.375266,,3.545,,4571.0,0.747,0.804,529.649
FALSE POSITIVE,0.617674,,,,5271.68,1.10095,0.9,551.825
CANDIDATE,0.986765,,,,6080.0,1.4,,1209.91
FALSE POSITIVE,0.579309,,,,4888.0,0.999114,0.8,804.474
FALSE POSITIVE,1.204338,,,,5633.43,0.907171,1.0,712.719
FALSE POSITIVE,0.604228,,,,,,,
CANDIDATE,0.82182448,,,,5990.46,2.64987,1.1,905.484
CANDIDATE,0.822,,,,5990.46,2.64987,1.1,905.484
CANDIDATE,0.8218241,,6.1,,,2.66,,905.484
FALSE POSITIVE,0.816734,,,,6318.08,1.79519,1.245,292.97
CANDIDATE,14.220246,,,,6130.0,1.461,,644.775
FALSE POSITIVE,0.547674,,,,4926.69,0.786265,0.81,478.589
FALSE POSITIVE,1.743013,,,,7935.6,2.95299,1.9,3310.66
FALSE POSITIVE,0.55082,,,,,,,
FALSE POSITIVE,1.153456,,,,5378.01,2.96865,,2293.47
FALSE POSITIVE,3.797473,,,,5024.68,0.785698,0.84,573.461
FALSE POSITIVE,0.518748,,,,6490.0,1.31192,1.33,428.79
FALSE POSITIVE,0.518754,,,,5514.41,0.878754,0.968,204.192
FALSE POSITIVE,0.98972,,,,5424.29,1.13922,0.94,689.484
FALSE POSITIVE,4.845561,,,,5723.1,1.15426,1.02,692.795
FALSE POSITIVE,0.643142,,,,5412.54,1.05452,0.94,780.54
CANDIDATE,1.466473,,,,4570.0,0.981,,49.7797
CANDIDATE,7.112,,,,5595.68,0.909317,0.989,123.647
CANDIDATE,7.1123703,,1.85858,917.0,5595.7,0.91,,123.647
CANDIDATE,7.112134,,2.7,,5800.0,1.042,,123.647
CANDIDATE,7.112273,,3.2,,,0.96,,123.647
CANDIDATE,7.11047482,,,,5595.68,0.909317,0.989,123.647
FALSE POSITIVE,1.991357,,,,6118.76,1.26082,1.15,521.625
FALSE POSITIVE,16.7004351,,,,5018.76,1.09979,0.83,619.729
FALSE POSITIVE,16.709659,,,,5018.76,1.09979,0.83,619.729
CANDIDATE,20.016917,,,,5790.0,0.97,,312.174
FALSE POSITIVE,1.488249,,,,4080.0,0.982781,0.638,372.01
FALSE POSITIVE,0.610205,,,,5470.83,1.18417,,206.923
FALSE POSITIVE,1.07639,,,,6523.0,1.6002,1.34,587.214
CANDIDATE,5.17518,,1.53,,,0.826,,312.43
CANDIDATE,9.73605539,,,,5508.0,0.946449,0.97,465.051
CANDIDATE,2.22645,,2.6,,,0.782,,569.614
CANDIDATE,2.226,,,,5013.0,0.778333,0.83,569.614
CANDIDATE,3.209,,,,5060.51,0.910204,,238.775
CANDIDATE,3.209185,,40.1,,,0.89,,238.775
CANDIDATE,3.209149,,5.27465763,,5182.0,0.839324,,238.775
CANDIDATE,3.2092033,,6.33877,,5060.5,0.91,,238.775
CANDIDATE,2.91825,,1.65,,,0.776,,274.014
CANDIDATE,2.918,,,,4996.93,0.763904,0.828,274.014
CANDIDATE,0.898,,,,,,,
CANDIDATE,0.898216,,4.02,,5528.0,0.82,,
CANDIDATE,0.898344,,9.8,,,0.9,,
CANDIDATE,0.898312,,32.0,,,0.79,,
CANDIDATE,0.89803906,,,,,,,
CANDIDATE,6.676,,,,4036.0,,,769.424
FALSE POSITIVE,1.023613,,,,6658.58,2.97485,1.4,1223.87
CANDIDATE,0.545702,,,,5330.0,4.752,,2031.74
CANDIDATE,4.70751,,1.52,,,0.998,,329.537
FALSE POSITIVE,5.173531,,,,5188.24,1.14689,0.88,509.353
FALSE POSITIVE,5.489456,,,,5151.0,3.27338,,1869.17
FALSE POSITIVE,0.699705,,,,6804.44,2.09781,1.46,1531.04
FALSE POSITIVE,0.555317,,,,5295.0,1.07851,0.91,1347.23
FALSE POSITIVE,0.569192,,,,6510.0,1.51974,1.34,1683.08
FALSE POSITIVE,0.751394,,,,5480.0,1.27317,0.96,1295.54
CANDIDATE,1.17715,,,,6390.0,2.529,,920.972
FALSE POSITIVE,9.148701,,,,6072.0,1.8215,1.13,599.545
CANDIDATE,1.190316,,,,3420.0,0.335,,157.625
FALSE POSITIVE,2.724469,,,,6707.0,1.60222,1.42,2967.26
FALSE POSITIVE,12.886147,,,,5033.0,0.805017,0.84,278.166
FALSE POSITIVE,0.723102,,,,5897.77,1.19162,1.07,700.399
CANDIDATE,6.924808,,8.5,,5300.0,0.795,,767.471
FALSE POSITIVE,0.526018,,,,3614.0,0.671247,0.642823,265.78
CANDIDATE,1.190354,,,,6350.0,2.407,,329.005
FALSE POSITIVE,0.793048,,,,5459.0,1.76335,0.95,888.636
FALSE POSITIVE,0.594392,,,,5552.0,,,913.25
FALSE POSITIVE,1.160308,,,,4331.0,0.883616,0.677,228.349
CANDIDATE,5.190254,,,,3120.0,0.645,,207.293
CANDIDATE,11.480611,,23.562,,4692.0,5.415,1.48,2622.55
FALSE POSITIVE,0.59812,,,,4142.0,0.935307,0.65,323.769
CANDIDATE,1.095841,,,,5920.0,1.906,,908.898
CANDIDATE,1.717,,,,6049.0,1.69089,1.13,941.744
CANDIDATE,0.7165461,,25.5,,,1.754,,941.744
CANDIDATE,12.426,,,,5926.0,1.34653,1.08,936.196
CANDIDATE,16.715029,,3.402,,5406.0,0.854,0.821,376.519
CANDIDATE,2.76294135,,,,5794.0,0.787867,1.04,348.015
CONFIRMED,2.289363,,1.48,1149.0,5171.0,0.8,0.83,418.395
CONFIRMED,2.28943,,1.323,,,,0.829,418.395
CONFIRMED,2.28896,,1.83,,,0.749,,418.395
CONFIRMED,5.21378,,2.29,,,0.749,,418.395
CONFIRMED,5.213965,,2.27,866.0,5171.0,0.8,0.83,418.395
CONFIRMED,5.213,,,,5008.0,0.776343,0.831,418.395
CANDIDATE,1.225,,,,5222.0,0.836336,0.89,461.318
CANDIDATE,0.595621,,0.58303133,,5338.0,0.863058,,80.3025
CANDIDATE,1.605718,,16.0,,,1.9,,551.776
CANDIDATE,6.669,,,,5048.0,0.871771,0.84,453.754
CANDIDATE,17.788652,,47.8,,,0.76,,805.825
CANDIDATE,12.9348816,,,,,,,375.092
CANDIDATE,12.93562,,33.6,,,1.511,,375.092
CANDIDATE,51.735,,15.3,,,1.511,,375.092
CANDIDATE,34.144,,,,5690.0,1.68987,1.01,1138.25
CANDIDATE,34.1365,,10.54,,,1.791,,1138.25
CANDIDATE,3.56467,,1.62,,,0.564,,267.728
CANDIDATE,21.0791,,2.71,,,1.362,,569.102
CANDIDATE,4.17458,,1.08,,,0.28,,177.501
CANDIDATE,4.174,,,,3620.0,0.539055,0.535304,177.501
CANDIDATE,15.9489,,2.48,,,1.29,,620.59
CANDIDATE,2.548,,,,3545.0,0.515866,0.513515,132.918
CANDIDATE,2.55068936,,,,3545.0,0.515866,0.513515,132.918
CANDIDATE,2.549,,,,,,,
CANDIDATE,2.55234671,,,,,,,
CANDIDATE,2.500285,,64.215,,6051.0,2.481,1.936,308.895
CANDIDATE,0.6962935,,3.85,,,1.107,,380.58
CANDIDATE,22.446,,,,4118.0,0.693527,0.645,333.063
CANDIDATE,26.147,,,,5442.0,0.811187,0.949,336.109
CANDIDATE,26.143,,2.52,,,0.8091,,336.109
CANDIDATE,14.452,,,,6318.0,1.11514,1.24,367.105
CANDIDATE,36.152,,,,6318.0,1.11514,1.24,367.105
CANDIDATE,6.16596,,,,5882.0,1.3,,391.87
CANDIDATE,46.4221,,2.66,,,0.893,,485.771
CANDIDATE,46.423,,,,5642.0,0.851697,1.0,485.771
CANDIDATE,1.852487,,36.8,,,2.479,,672.634
CANDIDATE,3.746332,,1.638,,4395.0,0.726,0.795,358.223
CANDIDATE,28.24765,,38.5,,,3.57,,1277.94
CANDIDATE,25.3606,,3.11,,,0.815,,521.039
CANDIDATE,15.7086,,1.96,,,0.595,,291.378
CANDIDATE,9.886,,1.59,,,0.595,,291.378
CONFIRMED,18.0983,,2.17,,,,1.106,611.804
CONFIRMED,18.0971,,2.21,,,1.2247,,611.804
CANDIDATE,12.0156,,2.81,,,1.2247,,611.804
CANDIDATE,12.012,,,,5915.0,1.21834,1.08,611.804
CANDIDATE,0.946,,,,5336.0,0.801858,0.92,590.452
CANDIDATE,0.946033,,1.81,,,0.827,,590.452
CANDIDATE,0.94599529,,,,5336.0,0.801858,0.92,590.452
CANDIDATE,2.667929,,50.7,,,0.94,,440.68
CANDIDATE,1.063,,,,,,,657.203
CANDIDATE,0.531704,,2.0,,,1.06,,657.203
CANDIDATE,0.531684,,2.13,,,1.29,,657.203
CANDIDATE,24.006249,,23.826,,6150.0,1.506,1.214,289.723
CANDIDATE,1.11562824,,,,5806.0,1.09339,1.04,361.175
CANDIDATE,1.115563,,1.29,,,0.98,,361.175
CANDIDATE,1.115,,,,5806.0,1.09339,1.04,361.175
CANDIDATE,1.115485,,1.6,,,1.1,,361.175
CANDIDATE,24.462656,,13.6,,,0.68,,928.672
CANDIDATE,24.482,,28.2,,,2.763,,928.672
CANDIDATE,0.779,,,,,,,
CANDIDATE,0.77923,,0.87,,,,,
CANDIDATE,12.666,,,,5690.0,0.948236,1.01,697.264
CANDIDATE,0.876,,,,5849.0,1.49707,1.06,599.351
CANDIDATE,3.26945,,3.9,,,0.276,,170.258
CANDIDATE,3.269,,,,3201.0,0.263126,0.235199,170.258
CANDIDATE,4.07337,,0.928,,,0.794,,154.177
CANDIDATE,21.6768,,2.87,,,1.003,,618.856
CANDIDATE,21.677,,,,5751.0,0.968677,1.03,618.856
CANDIDATE,6.80213,,1.82,,,0.379,,112.258
CANDIDATE,6.883,,,,4900.0,1.76623,,2424.48
CANDIDATE,6.88385,,8.3,,,0.743,,2424.48
CONFIRMED,34.885,,1.6,,,,0.912,283.29
CANDIDATE,15.381,,,,5079.0,0.752111,0.85,283.29
CANDIDATE,15.3866,,2.41,,,0.758,,283.29
CANDIDATE,11.52898,,3.93,,,0.533,,235.002
CANDIDATE,3.44791,,1.46,,,0.637,,194.771
CANDIDATE,14.4307,,2.28,,,0.986,,469.49
CANDIDATE,8.121,,,,5672.0,1.04659,1.01,688.583
CANDIDATE,8.12088,,2.69,,,1.101,,688.583
CANDIDATE,13.485,,1.67,,,0.879,,368.464
CANDIDATE,13.484958,,1.56669509,,5378.0,0.843263,,368.464
CANDIDATE,13.479,,,,5196.0,0.915477,,368.464
CANDIDATE,17.732736,,23.212,,5650.0,1.684,1.114,1016.28
CANDIDATE,1.096473,,78.0,,,1.913,,1865.48
CANDIDATE,4.162764,,1.5,,,0.83,,221.753
CANDIDATE,13.7043,,1.3,,,1.014,,247.376
CANDIDATE,13.52583,,2.49,,,0.927,,393.306
CANDIDATE,13.524,,,,5531.0,0.913819,0.973,393.306
CANDIDATE,13.52475,,2.27671392,,5570.0,0.888236,,393.306
CANDIDATE,14.311,,,,4076.0,0.614558,0.638,119.379
CANDIDATE,21.379793,,2.088,,4722.0,0.698,0.825,494.551
CANDIDATE,8.853025,,14.4,,,0.87,,701.022
CANDIDATE,8.85007649,,,,5639.0,1.12685,1.0,701.022
CANDIDATE,8.853,,,,5639.0,1.12685,1.0,701.022
CANDIDATE,2.58166013,,,,4998.0,0.86975,0.83,285.382
CANDIDATE,2.581467,,5.7,,,0.78,,285.382
CANDIDATE,2.581,,,,4998.0,0.86975,0.83,285.382
FALSE POSITIVE,2.581,,,,4076.0,0.757718,0.64,291.948
FALSE POSITIVE,2.58148,,5.38,,4076.0,0.757718,0.64,291.948
CANDIDATE,14.069,,,,,,,
CANDIDATE,14.07277587,,,,,,,
CANDIDATE,14.069121,,1.8,,,0.84,,
CANDIDATE,14.06928,,1.83,,,0.876,,
CANDIDATE,14.069759,,1.86705079,,5343.0,0.890011,,
CANDIDATE,18.155653,,55.0,,,0.83,,664.868
CANDIDATE,6.373,,,,6518.0,0.991065,1.34,3353.73
CANDIDATE,3.021944,,10.8,,,1.082,,434.609
CANDIDATE,3.021795,,45.9,,,1.09,,434.609
CANDIDATE,3.02164122,,,,5975.0,1.05594,1.1,434.609
CANDIDATE,7.783286,,155.7,,,3.83,,590.762
CANDIDATE,7.785,,,,4726.0,3.88144,,590.762
CANDIDATE,7.78608,,10.9,,,3.34,,590.762
CANDIDATE,7.785227,,7.72094189,,5084.0,1.817689,,590.762
CONFIRMED,15.2841,,1.12,,,,0.95,320.07
CONFIRMED,15.2841,,1.39,,,0.9757,,320.07
CONFIRMED,15.28078,,1.26,756.0,6004.0,0.98,0.99,320.07
CONFIRMED,23.226001,,2.24459533,,5928.0,0.952744,,320.07
CONFIRMED,23.2259,,2.31,,,0.9757,,320.07
CONFIRMED,23.24110566,,,,6055.0,0.94987,1.13,320.07
CONFIRMED,23.228555,,2.32,658.0,6004.0,0.98,0.99,320.07
CONFIRMED,23.226,,,,6055.0,0.94987,1.13,320.07
CONFIRMED,23.226,,2.3,,,0.95,,320.07
CANDIDATE,,,15.2,,,0.797,,499.853
CANDIDATE,4.54462,,6.6,,,0.487,,168.953
CANDIDATE,4.545,,,,3258.0,0.248786,0.219548,168.953
CANDIDATE,0.72436144,,,,3276.0,0.650416,0.627438,98.10119
CANDIDATE,12.346663,,2.345,,5685.0,1.011,0.88,803.651
CANDIDATE,31.4782,,2.6,,,0.7556,,352.373
CANDIDATE,6.02226,,2.02,,,0.9738,,432.644
CONFIRMED,0.578657,,1.2,,5765.0,0.93,,561.929
CONFIRMED,11.811437,,2.3,,5765.0,0.93,,561.929
CONFIRMED,11.81387,,2.67,,,0.948,,561.929
FALSE POSITIVE,4.352428,,16.6,,,0.67,,212.88
FALSE POSITIVE,4.35244,,14.07,,4459.0,0.764238,0.7,212.88
CANDIDATE,2.851702,,2.16,,,0.303,,100.833
CANDIDATE,2.85177,,3.34,,3288.0,0.387653,0.377476,100.833
CANDIDATE,11.090822,,1.818,,5763.0,0.989,0.652,593.791
CANDIDATE,13.83851,,8.26,,,2.65,,759.054
CANDIDATE,13.843,,,,5500.0,2.5315,0.96,759.054
CANDIDATE,13.843725,,6.76064604,,5465.0,1.641721,,759.054
CANDIDATE,13.843678,,21.4,,,0.81,,759.054
CANDIDATE,0.32814902,,,,5793.0,1.10379,1.04,400.006
CANDIDATE,0.984,,,,5793.0,1.10379,1.04,400.006
CANDIDATE,0.32815384,,17.1,,,1.168,,400.006
CANDIDATE,0.328152,,14.79153996,,5759.0,0.990035,,400.006
CANDIDATE,8.253,,,,5419.0,2.02234,0.94,1216.38
CANDIDATE,8.25178,,6.99,,,2.161,,1216.38
CANDIDATE,20.5827,,2.98,,,1.099,,503.022
CANDIDATE,19.1324,,2.73,,,1.347,,439.945
CANDIDATE,2.45840745,,,,5528.0,0.926086,0.97,528.47
CANDIDATE,2.458783,,3.11,,,0.964,,528.47
CANDIDATE,2.459,,,,5528.0,0.926086,0.97,528.47
CANDIDATE,1.05459,,1.29,,3445.0,0.533176,0.529871,52.05051
CANDIDATE,1.054612,,1.0,,,0.36,,52.05051
CANDIDATE,1.055,,,,3445.0,0.533176,0.529871,52.05051
CANDIDATE,1.054604,,0.824,,,0.3,,52.05051
FALSE POSITIVE,1.83473,,29.93,,4385.0,0.826606,0.69,468.892
CANDIDATE,,,24.0,,,0.951,,467.996
CANDIDATE,5.734172,,6.2,,5192.0,2.747,1.147,1949.06
CANDIDATE,62.841,,,,4971.0,1.13363,0.82,543.381
CANDIDATE,25.8614,,1.58,,,0.295,,157.146
CANDIDATE,25.86125,,2.2,,3653.0,0.432453,0.427575,157.146
CANDIDATE,6.430383,,4.309,,5735.0,1.054,0.839,400.633
CANDIDATE,6.78882,,2.8,,,1.76,,178.226
CANDIDATE,6.788344,,1.6,,,1.11,,178.226
CANDIDATE,6.789076,,1.60793495,,5758.0,0.978493,,178.226
CANDIDATE,6.788,,,,5841.15,1.09551,,178.226
CANDIDATE,18.5159,,3.3,,,1.76,,178.226
CANDIDATE,18.517319,,1.86157195,,5758.0,0.978493,,178.226
CANDIDATE,18.516,,,,5841.15,1.09551,,178.226
CANDIDATE,2.268,,,,5789.0,2.15197,1.04,534.898
CANDIDATE,2.2688499,,,,5789.0,2.15197,1.04,534.898
CANDIDATE,7.264,,,,,,,
CANDIDATE,3.4914,,1.18,,,0.572,,182.528
CANDIDATE,7.685505,,2.084,,5176.0,0.703,0.695,689.524
CONFIRMED,13.603,,,,4581.0,0.669035,0.724,336.25
CONFIRMED,13.60697954,,,,4581.0,0.669035,0.724,336.25
CONFIRMED,13.603,0.098,2.586,536.0,4684.0,0.673,0.69,336.25
CONFIRMED,65.55,0.28,2.69,316.0,4684.0,0.673,0.69,336.25
CANDIDATE,14.78545,,2.62,,,0.623,,302.854
CANDIDATE,34.383193,,2.856,,5666.0,0.972,0.765,624.09
CANDIDATE,19.984217,,2.846,,6823.0,1.753,1.62,273.744
CANDIDATE,1.017968,,36.1,,,0.75,,1531.42
CANDIDATE,1.018,,,,5022.0,0.805916,0.83,1531.42
CANDIDATE,1.017977,,18.1,,,0.638,,1531.42
CANDIDATE,8.491003,,2.228,,5432.0,0.841,0.836,488.679
CANDIDATE,8.95366,,3.32,,,0.841,,371.772
CANDIDATE,8.953,,,,4966.0,0.864025,0.819,371.772
CANDIDATE,37.361973,,2.74426869,,5675.0,1.116937,,132.238
FALSE POSITIVE,4.681743,,5.4,,,0.25,,122.41
FALSE POSITIVE,4.68189,,29.41,,3368.0,0.40606,0.398305,122.41
FALSE POSITIVE,4.68199,,48.33,,4636.0,0.895684,0.736,120.644
CANDIDATE,24.748442,,16.683,,5803.0,0.637,0.633,1967.1
CANDIDATE,3.216,,,,3954.0,0.622576,0.60613,187.747
CANDIDATE,29.978884,,15.3,,,0.94,,847.991
CANDIDATE,6.725,,,,4891.0,0.80913,0.8,382.814
CANDIDATE,6.72511,,4.37,,,0.787,,382.814
CANDIDATE,12.24568,,2.047,,5329.0,0.796,0.871,432.673
CANDIDATE,13.8883,,1.46,,,0.592,,225.309
CANDIDATE,26.939433,,2.869,,5716.0,1.02,0.776,586.92
CANDIDATE,27.7985,,2.47,,,1.484,,242.406
CANDIDATE,20.641492,,49.5,,,1.05,,1015.39
CANDIDATE,12.634794,,47.553,,4999.0,10.265,0.805,5827.15
CANDIDATE,7.535783,,3.131,,3990.0,0.659,14.336,
CANDIDATE,6.116238,,4.886,,6283.0,1.544,1.235,470.651
CANDIDATE,9.668373,,2.628,,5368.0,0.817,0.826,460.478
CANDIDATE,0.546127,,11.3,,,1.447,,496.832
CANDIDATE,2.49686,,90.0,,,11.0,,8706.15
CANDIDATE,5.84643,,10.4,,,0.698,,249.0299
CANDIDATE,9.76897,,,,5388.0,1.2,,300.655
CANDIDATE,9.770186,,3.19260619,,5631.0,0.994327,,300.655
CANDIDATE,9.769155,,3.3,,,1.1,,300.655
CANDIDATE,9.7706,,3.8,,,1.195,,300.655
CANDIDATE,0.515513,,3.4,,,0.75,,4777.67
CANDIDATE,6.7826,,1.88,,,0.705,,280.867
CANDIDATE,3.12951,,18.6,,,1.99,,911.704
CANDIDATE,13.61358,,3.39689521,,4863.0,0.780921,,207.219
CANDIDATE,13.61242,,3.03,,,0.793,,207.219
CANDIDATE,12.364531,,36.3,,,0.76,,602.184
CANDIDATE,6.79867,,4.4,,,1.601,,603.437
CANDIDATE,1.489154,,1.9,,,2.4,,99.9601
CANDIDATE,1.489184,,1.0,,,0.87,,92.4615
FALSE POSITIVE,1.117027,,16.9,,,0.27,,164.337
FALSE POSITIVE,1.11704,,33.94,,3506.0,0.497973,0.496049,164.337
CANDIDATE,14.1297,,1.4,,,0.69,,182.207
CANDIDATE,4.63789,,2.04,,,1.021,,207.966
CANDIDATE,4.637911,,1.87105305,,5608.0,0.985113,,207.966
CANDIDATE,5.059033,,1.03801946,,4455.0,0.623766,,88.1751
CANDIDATE,5.059,,1.12,,4310.0,0.67224,0.67,88.1751
CANDIDATE,1.876899,,13.2,,,0.774,,858.471
CANDIDATE,10.99044,,1.16,,3584.0,0.500884,0.498929,82.2476
CANDIDATE,21.568409,,20.5,,,1.21,,286.762
CANDIDATE,1.236438,,50.0,,,3.2,,1632.44
CANDIDATE,7.269622,,32.9,,,0.73,,2948.78
CANDIDATE,7.269213,,163.0,,,6.93,,2948.78
CANDIDATE,7.457597,,8.7,,,1.037,,512.891
CANDIDATE,7.46475831483,,11.93024915,941.04,5357.0,1.15577,,512.891
CANDIDATE,43.1029,,12.2,,,1.923,,1327.27
CANDIDATE,0.2633809,,370.0,,,37.7,,5933.99
CANDIDATE,15.20726,,26.2,,,1.59,,1484.79
CANDIDATE,15.207101,,12.7,,,0.84,,1484.79
CANDIDATE,0.738067,,260.0,,,25.0,,5304.36
CANDIDATE,4.135707,,1.59980974,,4972.0,0.76364,,215.626
CANDIDATE,4.13556,,1.44,,,0.761,,215.626
CANDIDATE,6.631247,,1.35955936,,4972.0,0.76364,,215.626
CANDIDATE,6.63107,,1.52,,,0.761,,215.626
CANDIDATE,1.726115,,5.6,,,0.839,,372.764
CANDIDATE,1.2539936,,31.7,,,0.948,,328.975
CANDIDATE,0.9085915,,23.1,,,0.95,,664.39
CANDIDATE,6.421719,,15.3,,,1.1,,1159.18
CANDIDATE,2.74324,,28.0,,,4.88,,1634.87
CANDIDATE,0.533393,,19.5,,,14.8,,7293.03
CANDIDATE,23.510811,,18.4,,,0.97,,323.937
CANDIDATE,21.521554,,2.40003126,,5694.0,1.160188,,247.207
CANDIDATE,5.33988,,1.27,,,0.611,,184.786
CANDIDATE,6.689131,,29.9,,,1.011,,739.351
CANDIDATE,,,13.66,,,0.738,,177.075
CANDIDATE,3.6322288,,32.2,,,2.67,,682.985
CANDIDATE,10.14588,,19.43,,,1.198,,1420.16
CANDIDATE,11.12366,,1.8,,,0.8327,,229.811
CANDIDATE,11.123654,,1.71707978,,5310.0,0.820733,,229.811
CANDIDATE,,,57.0,,,1.532,,484.765
CANDIDATE,1.15144,,,,5809.0,1.91,,575.697
CANDIDATE,1.151471,,12.4,,,1.64,,575.697
CANDIDATE,14.94889,,21.9,,,1.69,,477.026
CANDIDATE,14.948966,,36.94985751,,6391.0,1.524443,,477.026
CANDIDATE,3.0203,,5.6,,,1.265,,409.372
CANDIDATE,13.12227,,2.02,,,1.004,,311.378
CANDIDATE,13.125244,,1.67711859,,5742.0,0.976723,,311.378
CANDIDATE,19.68075,,2.55,,,1.079,,264.321
CANDIDATE,19.679411,,2.31529508,,5679.0,1.002168,,264.321
CANDIDATE,3.38492,,1.48,,,0.528,,145.158
CANDIDATE,3.90723655504,,15.34164425,1199.33,5500.0,1.17027,,996.938
CANDIDATE,3.90518,,16.3,,,1.282,,996.938
CANDIDATE,28.077484,,67.3,,,1.54,,805.464
CANDIDATE,11.86386,,2.21,,,0.848,,218.345
CANDIDATE,8.6929,,1.81,,,1.079,,221.962
CANDIDATE,9.761854,,3.4422482,,5529.0,1.770928,,1133.41
CANDIDATE,32.3204,,3.3,,,0.245,,119.005
CANDIDATE,2.786008,,1.9,,,0.42,,45.7494
CANDIDATE,2.78592,,14.87,,3528.0,0.470811,0.46848,45.7494
CANDIDATE,8.60133,,5.31,,,1.016,,642.186
CANDIDATE,29.8411,,5.23,,,1.016,,642.186
CANDIDATE,16.692356,,17.0,,,0.9,,908.519
CANDIDATE,4.833191,,25.31,,,1.8456,,1059.57
CANDIDATE,1.3194719,,14.3,,,1.31,,2182.87
CANDIDATE,1.319474,,16.6,,,1.54,,2182.87
CANDIDATE,21.587326,,1.78061635,,6244.0,1.466377,,282.4672
CANDIDATE,3.041617,,8.9894717,,5250.0,0.873673,,571.458
